knob,delta,hits,n_plane,cx,cy,dx,dy,rms_x,rms_y,n_z_window
base,0.0,6,57,78.10526315789474,79.29824561403508,2.10526315789474,2.798245614035082,3.4827102298042267,7.977962876510017,6
V6,-80.0,2,62,76.85483870967742,78.40322580645162,0.8548387096774235,1.9032258064516157,5.816680059060263,18.479683419138762,2
V6,-40.0,3,57,76.19298245614036,77.75438596491227,0.19298245614035636,1.2543859649122737,7.644373223629805,17.579174981893022,3
V6,-15.0,1,48,78.6875,77.45833333333333,2.6875,0.9583333333333286,2.9308435219233386,8.25368183836092,1
V6,15.0,8,56,78.67857142857143,77.21428571428571,2.6785714285714306,0.7142857142857082,2.391257461022957,5.453420570464683,8
V6,40.0,6,55,77.81818181818181,73.4,1.818181818181813,-3.0999999999999943,7.529556087581329,12.872239333330679,6
V6,80.0,7,52,78.40384615384616,76.5576923076923,2.4038461538461604,0.0576923076923066,9.009097144605931,15.779019007162722,8
asymA,-80.0,0,32,17.21875,74.28125,-58.78125,-2.21875,13.152315326112737,7.807185692520705,0
asymA,-40.0,2,39,68.6923076923077,76.15384615384616,-7.307692307692307,-0.3461538461538396,28.642942341117955,4.984789487304515,15
asymA,-15.0,1,39,63.46153846153846,76.35897435897436,-12.53846153846154,-0.1410256410256352,32.49839929300357,10.666235198374114,10
asymA,15.0,0,0,nan,nan,nan,nan,nan,nan,0
asymA,40.0,0,0,nan,nan,nan,nan,nan,nan,0
asymA,80.0,0,0,nan,nan,nan,nan,nan,nan,0
asymB,-80.0,8,65,78.03076923076924,77.23076923076923,2.0307692307692378,0.7307692307692264,8.596903254203237,10.0257656232011,17
asymB,-40.0,4,60,79.38333333333334,76.31666666666666,3.38333333333334,-0.18333333333333712,3.194222214492216,6.267619608396441,5
asymB,-15.0,3,63,78.22222222222223,77.46031746031746,2.2222222222222285,0.9603174603174551,6.019662081019573,11.401511173615368,3
asymB,15.0,2,29,76.75862068965517,78.0,0.7586206896551744,1.5,8.223830688976474,14.579153752462146,3
asymB,40.0,0,0,nan,nan,nan,nan,nan,nan,0
asymB,80.0,0,0,nan,nan,nan,nan,nan,nan,0
V15,-80.0,6,59,78.16949152542372,75.67796610169492,2.169491525423723,-0.8220338983050794,7.693608490549827,9.267110931449997,7
V15,-40.0,4,57,77.78947368421052,75.17543859649123,1.7894736842105203,-1.324561403508767,6.0920910537517585,10.373926166398078,5
V15,-15.0,3,57,78.64912280701755,78.12280701754386,2.649122807017548,1.6228070175438631,2.4601471077835937,6.003128352400051,3
V15,15.0,2,47,76.7872340425532,75.19148936170212,0.7872340425531945,-1.308510638297875,6.958650426177099,12.807308913725354,2
V15,40.0,7,54,78.9074074074074,77.07407407407408,2.9074074074074048,0.5740740740740762,2.64763009695756,5.824125595956529,8
V15,80.0,7,61,78.73770491803279,77.65573770491804,2.73770491803279,1.1557377049180388,2.816238855277693,5.855879057644434,7
V18,-80.0,6,52,77.48076923076923,80.01923076923077,1.4807692307692264,3.5192307692307736,2.634755751454484,7.697378136580974,6
V18,-40.0,2,41,76.60975609756098,77.21951219512195,0.6097560975609753,0.7195121951219505,3.999256325871573,11.874367136146567,2
V18,-15.0,3,45,77.68888888888888,79.08888888888889,1.6888888888888829,2.5888888888888886,3.880562514906668,9.342429429988808,3
V18,15.0,3,62,77.29032258064517,76.61290322580645,1.2903225806451672,0.1129032258064484,7.998764212564326,13.210888518273388,3
V18,40.0,5,55,79.03636363636363,76.7090909090909,3.0363636363636317,0.20909090909090366,3.3788843579104966,7.36989632904198,6
V18,80.0,8,41,78.1219512195122,74.65853658536585,2.121951219512198,-1.8414634146341484,7.285786771218963,12.335967155569751,8
V3,-80.0,6,72,79.01388888888889,76.06944444444444,3.0138888888888857,-0.43055555555555713,2.365804159474671,5.890968579314367,6
V3,-40.0,3,61,77.68852459016394,75.06557377049181,1.6885245901639365,-1.4344262295081904,5.935558265363627,10.509743882420072,3
V3,-15.0,5,69,77.68115942028986,77.1304347826087,1.681159420289859,0.6304347826087024,5.859447353925602,10.700010894587791,6
V3,15.0,5,53,78.88679245283019,78.0377358490566,2.8867924528301927,1.5377358490566024,2.2034310925385623,4.85239588420161,6
V3,40.0,7,51,77.70588235294117,78.50980392156863,1.705882352941174,2.0098039215686327,3.207186279170018,8.714136698085806,7
V3,80.0,3,54,77.16666666666667,76.92592592592592,1.1666666666666714,0.4259259259259238,8.377107252860377,13.285820695390578,3
